iter	Passed	Remaining
0	0	48
1	0	43
2	1	51
3	2	51
4	3	67
5	4	68
6	5	74
7	7	85
8	8	87
9	9	87
10	10	83
11	11	81
12	11	78
13	12	74
14	12	72
15	16	85
16	17	84
17	18	83
18	18	80
19	19	77
20	19	74
21	20	72
22	20	70
23	21	67
24	22	66
25	24	68
26	25	69
27	26	68
28	27	67
29	28	66
30	29	65
31	30	64
32	31	63
33	31	62
34	33	61
35	33	60
36	34	58
37	35	58
38	36	57
39	37	55
40	37	54
41	38	53
42	38	51
43	39	50
44	39	48
45	41	48
46	43	49
47	44	48
48	45	47
49	45	45
50	46	44
51	47	44
52	48	43
53	49	42
54	50	41
55	51	40
56	51	38
57	52	37
58	52	36
59	53	35
60	53	34
61	54	33
62	55	32
63	56	31
64	56	30
65	57	29
66	57	28
67	58	27
68	58	26
69	59	25
70	60	24
71	60	23
72	61	22
73	61	21
74	62	20
75	62	19
76	63	18
77	64	18
78	65	17
79	66	16
80	66	15
81	67	14
82	67	13
83	68	13
84	68	12
85	69	11
86	69	10
87	70	9
88	70	8
89	71	7
90	71	7
91	72	6
92	72	5
93	73	4
94	74	3
95	75	3
96	76	2
97	76	1
98	77	0
99	77	0
